jaar|dekking_7300|dekking_11900|dekking_16400
1951|41.14|65.54|90.51
1952|41.03|65.44|90.4
1953|40.88|65.28|90.25
1954|40.67|65.07|90.04
1955|40.4|64.81|89.78
1956|40.09|64.49|89.46
1957|39.72|64.12|89.09
1958|39.06|63.05|87.6
1959|39.06|63.05|87.6
1960|38.62|62.34|86.6
1961|37.47|60.5|84.05
1962|36.52|58.95|81.9
1963|34.98|56.46|78.45
1964|33.09|53.41|74.2
1965|31.31|50.54|70.21
1966|29.42|47.49|65.99
1967|27.66|44.65|62.03
1968|25.76|41.57|57.76
1969|23.91|38.6|53.62
1970|22.12|35.71|49.61
1971|20.52|33.13|46.02
1972|19.13|30.88|42.9
1973|17.54|28.31|39.33
1974|15.95|25.75|35.77
1975|14.78|23.87|33.16
1976|13.7|22.12|30.73
1977|12.53|20.21|28.09
1978|11.49|18.54|25.76
1979|10.59|17.1|23.77
1980|9.86|15.91|22.1
1981|9.14|14.75|20.5
1982|8.49|13.71|19.06
1983|7.98|12.88|17.89
1984|7.58|12.23|17.0
1985|7.19|11.61|16.13
1986|6.78|10.94|15.2
1987|6.5|10.5|14.58
1988|6.23|10.06|13.98
1989|5.87|9.47|13.16
1990|5.61|9.05|12.58
1991|5.46|8.82|12.25
1992|5.13|8.3|11.53
1993|5.0|8.07|11.21
1994|5.02|8.11|11.27
1995|4.81|7.76|10.78
1996|4.49|7.25|10.07
1997|3.88|6.28|8.73
1998|4.45|7.19|9.99
1999|4.39|7.08|9.84
2000|4.14|6.68|9.28
2001|3.71|5.98|8.32
2002|3.04|4.91|6.82
2003|2.55|4.12|5.72
2004|2.02|3.26|4.53
2005|1.46|2.36|3.28
